-500.0 -1000.0 165.289 0.0 0.0 0.0 0.0   100.0 -1000.0 165.289 0.0 0.0 0.0 0.0   -500.0 -1600.0 165.289 0.0 0.0 0.0 0.0   100.0 -1600.0 165.289 0.0 0.0 0.0 0.0 5 0.0
100.0 -928.0 165.289 0.0 0.0 0.0 0.0   124.0 -928.0 165.289 0.0 0.0 0.0 0.0   100.0 -1376.0 165.289 0.0 0.0 0.0 0.0   124.0 -1376.0 165.289 0.0 0.0 0.0 0.0 5 0.0
-1202.0 -800.0 165.298 0.0 0.0 0.0 0.0   98.0 -800.0 165.298 0.0 0.0 0.0 0.0   -1202.0 -1000.0 165.298 0.0 0.0 0.0 0.0   98.0 -1000.0 165.298 0.0 0.0 0.0 0.0 5 0.0
124.0 -1026.0 0.0 0.0 0.0 0.0 0.0   132.0 -1026.0 0.0 0.0 0.0 0.0 0.0   124.0 -1054.0 0.0 0.0 0.0 0.0 0.0   132.0 -1054.0 0.0 0.0 0.0 0.0 0.0 5 0.0
122.0 -1006.0 0.0 0.0 0.0 0.0 0.0   142.0 -1006.0 0.0 0.0 0.0 0.0 0.0   122.0 -1026.0 0.0 0.0 0.0 0.0 0.0   142.0 -1026.0 0.0 0.0 0.0 0.0 0.0 5 0.0
124.0 -1168.0 0.0 0.0 0.0 0.0 0.0   132.0 -1168.0 0.0 0.0 0.0 0.0 0.0   124.0 -1240.0 0.0 0.0 0.0 0.0 0.0   132.0 -1240.0 0.0 0.0 0.0 0.0 0.0 5 0.0
-1202.0 -1002.0 165.298 0.0 0.0 0.0 0.0   -502.0 -1002.0 165.298 0.0 0.0 0.0 0.0   -1202.0 -1942.0 165.298 0.0 0.0 0.0 0.0   -502.0 -1942.0 165.298 0.0 0.0 0.0 0.0 5 0.0
-2102.0 -500.0 165.298 0.0 0.0 0.0 0.0   -1202.0 -500.0 165.298 0.0 0.0 0.0 0.0   -2102.0 -1940.0 165.298 0.0 0.0 0.0 0.0   -1202.0 -1940.0 165.298 0.0 0.0 0.0 0.0 5 0.0
-1200.0 -582.0 165.298 0.0 0.0 0.0 0.0   -920.0 -582.0 165.298 0.0 0.0 0.0 0.0   -1200.0 -802.0 165.298 0.0 0.0 0.0 0.0   -920.0 -802.0 165.298 0.0 0.0 0.0 0.0 5 0.0
-2500.0 -502.0 165.298 0.0 0.0 0.0 0.0   -2100.0 -502.0 165.298 0.0 0.0 0.0 0.0   -2500.0 -1802.0 165.298 0.0 0.0 0.0 0.0   -2100.0 -1802.0 165.298 0.0 0.0 0.0 0.0 5 0.0
-2860.0 -500.0 165.298 0.0 0.0 0.0 0.0   -2500.0 -500.0 165.298 0.0 0.0 0.0 0.0   -2860.0 -1460.0 165.298 0.0 0.0 0.0 0.0   -2500.0 -1460.0 165.298 0.0 0.0 0.0 0.0 5 0.0
-3260.0 -500.0 165.298 0.0 0.0 0.0 0.0   -2860.0 -500.0 165.298 0.0 0.0 0.0 0.0   -3260.0 -1220.0 165.298 0.0 0.0 0.0 0.0   -2860.0 -1220.0 165.298 0.0 0.0 0.0 0.0 5 0.0
-3382.0 158.0 165.298 0.0 0.0 0.0 0.0   -1202.0 158.0 165.298 0.0 0.0 0.0 0.0   -3382.0 -502.0 165.298 0.0 0.0 0.0 0.0   -1202.0 -502.0 165.298 0.0 0.0 0.0 0.0 5 0.0
-1202.0 158.0 165.298 0.0 0.0 0.0 0.0   -382.0 158.0 165.298 0.0 0.0 0.0 0.0   -1202.0 -62.0 165.298 0.0 0.0 0.0 0.0   -382.0 -62.0 165.298 0.0 0.0 0.0 0.0 5 0.0
-3382.0 560.0 165.298 0.0 0.0 0.0 0.0   -122.0 560.0 165.298 0.0 0.0 0.0 0.0   -3382.0 160.0 165.298 0.0 0.0 0.0 0.0   -122.0 160.0 165.298 0.0 0.0 0.0 0.0 5 0.0
-2500.0 1058.0 165.298 0.0 0.0 0.0 0.0   -100.0 1058.0 165.298 0.0 0.0 0.0 0.0   -2500.0 558.0 165.298 0.0 0.0 0.0 0.0   -100.0 558.0 165.298 0.0 0.0 0.0 0.0 5 0.0
-3002.0 1058.0 165.298 0.0 0.0 0.0 0.0   -2502.0 1058.0 165.298 0.0 0.0 0.0 0.0   -3002.0 558.0 165.298 0.0 0.0 0.0 0.0   -2502.0 558.0 165.298 0.0 0.0 0.0 0.0 5 0.0
